recency,frequency,tenure,capacity score,last gift amount,region,age,gender,marital status
5,0.55,44,52,6208.18,8,62,m,y
13,0.31,170,99,569918.75,8,52,m,y
15,0.2,104,37,5123.45,9,64,m,w
1,0.37,134,65,3498.95,6,77,m,w
4,0.19,24,11,491.08,7,51,f,y
7,0.23,20,37,1918.01,7,51,m,y
6,0.15,6,25,0.0,5,78,m,y
36,0.16,36,28,0.0,7,66,f,y
3,0.4,176,0,314.68,9,47,m,y
16,0.23,179,55,4465.21,4,63,f,y
1,0.26,91,42,659.6,2,48,f,n
19,0.25,55,82,0.0,8,48,m,n
0,0.21,25,48,461.78,7,58,f,w
10,0.29,110,16,0.0,6,26,f,y
5,0.3,48,71,20632.99,7,29,m,n
0,0.8,10,75,2124.86,3,46,m,y
17,0.27,71,28,3806.7,6,39,f,y
8,0.24,145,48,0.0,10,59,f,w
10,0.2,133,33,4171.14,7,41,f,y
7,0.22,76,46,14533.14,7,33,m,y
19,0.41,71,63,1131.17,5,76,f,y
13,0.12,78,23,10023.61,3,51,m,y
2,0.16,160,43,95.33,2,56,f,n
3,0.52,161,88,17966.55,7,33,f,w
1,0.57,170,53,18865.94,4,46,f,n
0,0.16,84,34,4876.11,2,56,f,w
12,0.33,24,50,0.0,8,37,f,n
3,0.29,18,38,655.29,2,60,f,w
6,0.34,50,48,817.41,6,45,m,y
9,0.41,11,57,39174.46,4,50,f,n
10,0.43,134,30,1160.99,9,45,f,y
16,0.24,111,61,0.0,5,82,m,w
13,0.18,126,28,180.53,4,54,f,y
9,0.27,30,49,614.62,8,39,m,n
1,0.18,159,37,723.12,3,67,f,n
14,0.29,146,56,8116.76,9,36,f,w
0,0.19,24,30,546.92,8,58,m,n
2,0.22,143,67,73967.75,8,25,f,y
3,0.29,178,42,19118.56,10,35,m,n
6,0.19,76,44,2542.02,5,57,f,y
23,0.18,20,58,0.0,1,66,m,y
6,0.32,112,46,1761.09,10,57,m,y
8,0.35,164,64,0.0,9,53,m,y
7,0.32,131,57,39.97,2,50,m,n
0,0.2,141,64,725.79,1,32,f,n
2,0.18,35,41,15761.85,6,44,f,n
20,0.2,103,54,2499.84,1,48,m,y
2,0.28,102,73,53551.03,10,70,m,y
4,0.22,6,44,96620.59,10,60,m,y
6,0.41,21,94,5455.38,10,28,f,y
11,0.2,119,23,9579.31,7,59,f,y
6,0.09,16,10,0.0,7,49,m,y
4,0.26,160,81,4901.72,1,44,f,n
9,0.14,91,30,12460.57,10,64,m,y
7,0.4,173,45,8903.23,5,70,f,y
5,0.39,177,65,791.39,3,68,f,y
7,0.42,75,79,2099.94,2,42,f,n
4,0.15,125,32,38.43,5,50,f,n
5,0.33,173,51,3537.63,5,59,f,y
4,0.28,44,58,4406.56,2,69,f,y
36,0.32,136,87,0.0,6,47,f,y
0,0.28,6,46,1616.56,7,52,m,y
8,0.18,28,55,5495.34,1,38,m,y
2,0.29,120,61,5817.48,3,37,m,y
3,0.27,167,36,0.0,4,67,f,y
1,0.21,150,67,19166.56,2,75,m,y
11,0.24,53,40,2073.15,10,53,m,n
2,0.26,96,32,6345.35,5,70,m,y
8,0.25,58,64,2608.04,4,60,m,y
6,0.27,66,20,2945.97,2,45,f,y
4,0.12,108,24,622.98,1,60,f,y
3,0.23,107,64,2626.12,8,78,f,w
9,0.15,144,45,934.57,2,54,f,n
6,0.51,148,13,77.53,4,78,f,y
0,0.31,95,59,2260.49,10,25,f,n
10,0.26,123,40,225.57,5,67,m,n
11,0.31,144,69,3606.88,2,56,f,y
4,0.23,140,43,5406.83,10,50,m,y
0,0.29,52,63,7549.05,9,56,m,w
1,0.21,141,43,2721.81,2,25,f,y
6,0.16,10,31,536.71,6,51,m,y
11,0.22,92,28,0.0,7,60,m,y
0,0.34,96,75,10565.59,6,77,m,w
8,0.19,68,42,1239.28,4,47,m,n
5,0.39,26,79,13653.96,1,42,m,n
2,0.27,124,86,88219.02,2,47,m,n
5,0.36,126,95,14737.11,10,68,f,w
0,0.07,107,1,136.54,10,59,f,n
8,0.22,95,37,554.28,6,47,m,n
1,0.3,145,56,5835.99,8,62,f,w
0,0.21,117,45,2833.1,3,56,m,y
0,0.16,144,30,4018.33,7,69,m,n
9,0.34,143,69,0.0,9,44,m,n
2,0.28,124,39,808.76,4,50,f,n
6,0.51,21,54,8811.14,7,49,m,n
0,0.2,148,18,1361.75,7,33,f,n
0,0.28,124,50,2122.65,10,59,f,w
15,0.2,89,30,0.0,9,58,f,y
9,0.15,137,24,5779.65,3,55,f,y
0,0.59,27,94,47150.37,1,51,f,y
6,0.34,168,71,4055.52,8,33,m,n
1,0.27,147,51,1907.3,4,48,m,y
12,0.2,99,39,0.0,2,49,f,y
8,0.55,36,61,21875.6,5,42,f,y
23,0.24,75,42,2807.06,4,52,m,w
6,0.58,96,23,283.54,1,61,m,y
3,0.31,133,60,3289.54,7,83,m,w
9,0.46,16,54,0.0,4,57,m,w
7,0.27,41,45,131.62,8,58,m,y
4,0.15,85,30,1822.78,9,53,f,y
4,0.25,29,50,17633.3,8,26,f,n
